portfolio_id,severity,display_type,rule,target_kind,target_id,renderer,evidence
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TF-GRID,MINOR,coordinate_graph,grid,figure_renderer,tf-graph-to-rule,TfGraphToRule,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TF-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,tf-graph-to-rule,TfGraphToRule,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-RE-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,re-transformations,ReTransformations,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-RE-GRID,MINOR,coordinate_graph,grid,figure_renderer,re-transformations,ReTransformations,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-RE-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,re-transformations,ReTransformations,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-RE-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,re-reflection,ReReflection,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-RE-GRID,MINOR,coordinate_graph,grid,figure_renderer,re-reflection,ReReflection,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-RE-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,re-reflection,ReReflection,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-RE-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,re-graph-intersect,ReGraphIntersect,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-RE-GRID,MINOR,coordinate_graph,grid,figure_renderer,re-graph-intersect,ReGraphIntersect,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-RE-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,re-graph-intersect,ReGraphIntersect,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CN-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,cn-complex-plane,CnComplexPlane,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CN-GRID,MINOR,coordinate_graph,grid,figure_renderer,cn-complex-plane,CnComplexPlane,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CN-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,cn-complex-plane,CnComplexPlane,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CN-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,cn-conjugate,CnConjugate,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CN-GRID,MINOR,coordinate_graph,grid,figure_renderer,cn-conjugate,CnConjugate,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CN-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,cn-conjugate,CnConjugate,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CN-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,cn-conjugate-pairs,CnConjugatePairs,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CN-GRID,MINOR,coordinate_graph,grid,figure_renderer,cn-conjugate-pairs,CnConjugatePairs,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CN-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,cn-conjugate-pairs,CnConjugatePairs,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-PF-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,pf-degree-zeros,PfDegreeZeros,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-PF-GRID,MINOR,coordinate_graph,grid,figure_renderer,pf-degree-zeros,PfDegreeZeros,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-PF-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,pf-degree-zeros,PfDegreeZeros,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-PF-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,pf-zero-def,PfZeroDef,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-PF-GRID,MINOR,coordinate_graph,grid,figure_renderer,pf-zero-def,PfZeroDef,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-PF-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,pf-zero-def,PfZeroDef,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-PF-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,pf-bounce,PfBounce,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-PF-GRID,MINOR,coordinate_graph,grid,figure_renderer,pf-bounce,PfBounce,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-PF-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,pf-bounce,PfBounce,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-PF-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,pf-turning-point,PfTurningPoint,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-PF-GRID,MINOR,coordinate_graph,grid,figure_renderer,pf-turning-point,PfTurningPoint,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-PF-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,pf-turning-point,PfTurningPoint,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-PF-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,pf-parity,PfParity,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-PF-GRID,MINOR,coordinate_graph,grid,figure_renderer,pf-parity,PfParity,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-PF-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,pf-parity,PfParity,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CX-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,cx-similar-walk,CxSimilarWalk,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CX-GRID,MINOR,coordinate_graph,grid,figure_renderer,cx-similar-walk,CxSimilarWalk,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CX-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,cx-similar-walk,CxSimilarWalk,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CX-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,cx-quad-vertices,CxQuadVertices,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CX-GRID,MINOR,coordinate_graph,grid,figure_renderer,cx-quad-vertices,CxQuadVertices,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CX-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,cx-quad-vertices,CxQuadVertices,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CX-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,cx-variables-general,CxVariablesGeneral,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CX-GRID,MINOR,coordinate_graph,grid,figure_renderer,cx-variables-general,CxVariablesGeneral,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CX-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,cx-variables-general,CxVariablesGeneral,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CX-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,cx-shoelace,CxShoelace,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CX-GRID,MINOR,coordinate_graph,grid,figure_renderer,cx-shoelace,CxShoelace,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CX-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,cx-shoelace,CxShoelace,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-GF-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,gf-reflections-signs,GfReflectionsSigns,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-GF-GRID,MINOR,coordinate_graph,grid,figure_renderer,gf-reflections-signs,GfReflectionsSigns,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-GF-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,gf-reflections-signs,GfReflectionsSigns,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-GF-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,gf-reflect-yx,GfReflectYX,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-GF-GRID,MINOR,coordinate_graph,grid,figure_renderer,gf-reflect-yx,GfReflectYX,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-GF-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,gf-reflect-yx,GfReflectYX,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-GF-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,gf-rotations-origin,GfRotationsOrigin,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-GF-GRID,MINOR,coordinate_graph,grid,figure_renderer,gf-rotations-origin,GfRotationsOrigin,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-GF-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,gf-identify-motion,GfIdentifyMotion,no statically visible tick construction
